2025/02/13 08:25:08 [error] 22#22: *124 "/assets/owa/index.html" is not found (2: No such file or directory), client: 5.39.216.167, server: , request: "GET /owa/ HTTP/1.1", host: "FREE-193.93.76-135.onecom.com.ua:8080"
2025/02/13 08:25:08 [error] 22#22: *126 "/assets/CFIDE/componentutils/index.html" is not found (2: No such file or directory), client: 5.39.216.167, server: , request: "GET /CFIDE/componentutils/ HTTP/1.1", host: "FREE-193.93.76-135.onecom.com.ua:8080"
2025/02/13 08:25:08 [error] 22#22: *127 open() "/assets/default.php" failed (2: No such file or directory), client: 5.39.216.167, server: , request: "GET /default.php HTTP/1.1", host: "FREE-193.93.76-135.onecom.com.ua:8080"
2025/02/13 08:25:08 [error] 22#22: *129 open() "/assets/geoserver/index.html" failed (2: No such file or directory), client: 5.39.216.167, server: , request: "GET /geoserver/index.html HTTP/1.1", host: "FREE-193.93.76-135.onecom.com.ua:8080"
2025/02/13 08:25:08 [error] 22#22: *130 open() "/assets/Portal/Portal.mwsl" failed (2: No such file or directory), client: 5.39.216.167, server: , request: "GET /Portal/Portal.mwsl HTTP/1.1", host: "FREE-193.93.76-135.onecom.com.ua:8080"
2025/02/13 08:25:08 [error] 22#22: *131 open() "/assets/index.jhtml" failed (2: No such file or directory), client: 5.39.216.167, server: , request: "GET /index.jhtml HTTP/1.1", host: "FREE-193.93.76-135.onecom.com.ua:8080"
2025/02/13 08:25:08 [error] 22#22: *132 open() "/assets/scripts/WPnBr.dll" failed (2: No such file or directory), client: 5.39.216.167, server: , request: "POST /scripts/WPnBr.dll HTTP/1.1", host: "FREE-193.93.76-135.onecom.com.ua:8080"
2025/02/13 08:25:08 [error] 19#19: *134 "/assets/docs/cplugError.html/index.html" is not found (2: No such file or directory), client: 5.39.216.167, server: , request: "GET /docs/cplugError.html/ HTTP/1.1", host: "FREE-193.93.76-135.onecom.com.ua:8080"
2025/02/13 08:25:08 [error] 19#19: *133 "/assets/geoserver/index.html" is not found (2: No such file or directory), client: 5.39.216.167, server: , request: "GET /geoserver/ HTTP/1.1", host: "FREE-193.93.76-135.onecom.com.ua:8080"
2025/02/13 08:25:08 [error] 19#19: *135 open() "/assets/readme.txt" failed (2: No such file or directory), client: 5.39.216.167, server: , request: "GET /readme.txt HTTP/1.1", host: "FREE-193.93.76-135.onecom.com.ua:8080"
